[LR]
"agerar","överväger"
"aggressiv","undfallande"
"befaller","lyder"
"bestämmer","samråder"
"drivande","stödjande"
"flitig","lat"
"framfusig","tillbakadragen"
"ger","mottager"
"gåpåig","hänsynsfull"
"hetsig","lugn"
"högljudd","lågmäld"
"ifrågasätter","godtar"
"initierar","avvaktar"
"okänslig","lyhörd"
"otålig","tålmodig"
"pratar","lyssnar"
"riskvillig","rädd"
"rörlig","stilla"
"utåtriktad","inbunden"
"villig","ovillig"

[UD]
"flexibel","stel"
"hjärtlig","stram"
"impulsiv","rationell"
"känslostyrd","regelstyrd"
"ledig","korrekt"
"låtgåig","ansvarsfull"
"lättilgänglig","svårtillgänglig"
"lättjefull","nitisk"
"nyskapande","traditionsbunden"
"obyråkratisk","byråkratisk"
"odisciplinerad","disciplinerad"
"oordnand","systematisk"
"ostrukturerad","analytisk"
"rörig","organiserad"
"samarbetsorienterad","uppgiftsorienterad"
"slarvig","noggrann"
"spontan","beräknande"
"sprudlande","reserverad"
"upprymd","allvarlig"
"uttrycksfull","återhållsam"

